arm_count,captured_input_identity,complete_stack_policy_version,economic_candidate_id,price_views,raw_adjusted_pair,recommendation_date,recommendation_identity,regime,sector,security_identity,setup,setup_stage,source_count,terminal_decision
1,408e12c046621697cea663cc2152d76624b04bf63ae4cd404d903a0b0bc8262f,351869caf3fd82276cd55f84606b5b8a82957194ccbdf3999fb7c7241baafc28,c0c15cb11d7cb930a5cc35aed8b14ee364fa1392a315c768ac83ddf0891f48eb,RAW,false,2026-07-26,448745ddfe4f9c01e67f7d0bfb30e42f60d89732f81dc987e5ee90d7fb46da56,NEUTRAL,DEFENCE,BEL,MOMENTUM CONTINUATION,BUILDING,3,REJECT
2,004c4512b9f76a78b1d3f261a51b0fe8d844174fec8e046ca727cdd024f3bc66,351869caf3fd82276cd55f84606b5b8a82957194ccbdf3999fb7c7241baafc28,cb4d2c972cabd2d35ae6085ad45e4db41c0bb4a4c46a9c7df1a4c6a0e1778f7e,ADJUSTED|RAW,true,2026-03-18,8a54e554b2482420f60d235c294c973010f59bb32b1153c4d04dc66b8cd8201f,UNKNOWN,UNKNOWN,GOLDBEES,UNKNOWN,BUILDING,2,REJECT
2,004ffb0b22daf1266bb49a1753ee99ddca09578dd47d1a4d3df59f86715ca098,351869caf3fd82276cd55f84606b5b8a82957194ccbdf3999fb7c7241baafc28,cc3a79b24e6f6f113062808fcfe0e4da55f3860475ff9ad209e7b4aeb843229a,ADJUSTED|RAW,true,2026-02-04,cc968b81c40122fe30e0cdf9db00629bd592e9ef640c851c2f606be688c023e9,UNKNOWN,UNKNOWN,RPOWER,UNKNOWN,INVALID,2,REJECT
2,00c037dba0d1ff67ec030beb8ea5aa4be2ad9c98110431d5e2c82f450c765e2f,351869caf3fd82276cd55f84606b5b8a82957194ccbdf3999fb7c7241baafc28,fa4b65c42994b227200a4d23626c4a338ae3a446d9b3377cc9b0535562513da0,ADJUSTED|RAW,true,2026-06-11,fd174acd88d76bcb991d561aabdc0e4171cd2668ff8834e6ce24c8f954fbb935,UNKNOWN,UNKNOWN,JPPOWER,UNKNOWN,INVALID,2,REJECT
2,00f0bbb6b2676dce5efae875875f09dc905eca5feb591f5acb311ebcc0bf4356,351869caf3fd82276cd55f84606b5b8a82957194ccbdf3999fb7c7241baafc28,7362dfe6ac8a78293dbcf99655596b3df34c90906c3f7977492e3b2b3d8bc81c,ADJUSTED|RAW,true,2026-05-06,495c57deee21f4ca190ccf7bd9c61fa49f5927b58c1ad94420394f632f0ab17c,UNKNOWN,UNKNOWN,TATSILV,UNKNOWN,BUILDING,2,REJECT
2,00f3d7ed9d06413696b1640122ffdc05e0a32009e58ddaae59e5bf2185548af1,351869caf3fd82276cd55f84606b5b8a82957194ccbdf3999fb7c7241baafc28,6e7c2513020ad190adbf847d5e963bed0412350b67f6ffc53d74b7a87d05f656,ADJUSTED|RAW,true,2026-04-16,84cc1571b399de74e171c4307207ca53404f6d3e1adbf6a98b491a2bf6ebc83b,UNKNOWN,UNKNOWN,RPOWER,UNKNOWN,READY_FOR_CONFIRMATION,2,REJECT
2,01059e9d07f0deb6f6e939de7610058591f2ff6c4b5fac402a4d9bdfddbfd7bf,351869caf3fd82276cd55f84606b5b8a82957194ccbdf3999fb7c7241baafc28,f16633f7ec1c7561ad1bd300a74385f4dc7005709c770fa2a8dc1fd36eca2516,ADJUSTED|RAW,true,2026-06-03,996a1064cbbd05293c0405ffb9eb2b4fbbda4f7238773a65fcd063a08275f19a,UNKNOWN,UNKNOWN,HFCL,UNKNOWN,READY_FOR_CONFIRMATION,2,REJECT
2,016b59304658dbc71c75a776f0a6bc1ba36615670cc9a674939f476610cf4d3b,351869caf3fd82276cd55f84606b5b8a82957194ccbdf3999fb7c7241baafc28,2e56290f25f5b9f6007b042624423b79575122c6141200ca0c12b48176910465,ADJUSTED|RAW,true,2026-07-03,a2453a119dab7932b96a916db9496d69fe0958d07c2a21adbc5d6c07115469ad,UNKNOWN,UNKNOWN,MOSCHIP,UNKNOWN,BUILDING,2,REJECT
2,01bc80ce308c57088d56c27499ff3d76ba34e43378ab8f57d0c82b9184af5969,351869caf3fd82276cd55f84606b5b8a82957194ccbdf3999fb7c7241baafc28,ba5fadea219d2a31dd5d04b4aa0413511456a55f8ff5e5d3364f652b3ac953e9,ADJUSTED|RAW,true,2026-04-17,d958e1432fd87239feedce70e318514d5e386f1598b1135c940b900f7c2c519a,UNKNOWN,UNKNOWN,YESBANK,UNKNOWN,READY_FOR_CONFIRMATION,2,REJECT
2,01cc63dab6717bde791b2a0b236ad0ff90a4b07d3bec8f750545b33128b2042a,351869caf3fd82276cd55f84606b5b8a82957194ccbdf3999fb7c7241baafc28,681442ecb0a1fbd9fc76d0f9e1ddf72e34a9bdc0008c5e2a94f149b062e01aec,ADJUSTED|RAW,true,2026-05-05,5fbbca95fb037216ccbda16de2e999083a8dbd22fb00504aef3e588c8dfb8979,UNKNOWN,UNKNOWN,ADANIPOWER,UNKNOWN,BUILDING,2,REJECT
2,01f35470deaba978427f5b90aaca7fc0bffe088e177a6cf459543ac53d5b0e42,351869caf3fd82276cd55f84606b5b8a82957194ccbdf3999fb7c7241baafc28,3666664a904e3b4514f45ecaca127a6dd1184f3c8f0aae2460ac1527084ad35b,ADJUSTED|RAW,true,2026-06-11,a903338a9d802fe2b7e5a65c948fcd271632eea29097772048591beee3ca9f82,UNKNOWN,UNKNOWN,TATAGOLD,UNKNOWN,READY_FOR_CONFIRMATION,2,REJECT
