candidate_arm_count,classification,economic_candidate_id,independent_candidate_count,price_arms
1,NOT_DUPLICATE,1b58b21fb1ff89fa30007d8382aeef9a0f56e463d8f1dee8456a9e4155520bb9,1,UNKNOWN
1,NOT_DUPLICATE,5e6cff957429ca600fd28051abdfc5201eb84a3b07784127192ed3f5023c2edf,1,UNKNOWN
1,NOT_DUPLICATE,5eded349ed57f0ddfbbfe6bc916e85dd1d45d691fef7454389072792f53ad47b,1,UNKNOWN
1,NOT_DUPLICATE,68b63b0e67f8239705713ef347eee7f031dc515bd468398f988e86ec3d331eca,1,UNKNOWN
1,NOT_DUPLICATE,8644635e9955401391530c3da95e6bd9f68cb68a4315f24783139359000d6456,1,UNKNOWN
1,NOT_DUPLICATE,a44a1c1f14f0a87deaa916e0df28c836336f1ad2b0037e14ac5597a992f3e341,1,UNKNOWN
1,NOT_DUPLICATE,be429462e1c2fcb269aec4d7e168b4327aabd5cb2a4147a34df8dfc7a6f85f4f,1,UNKNOWN
1,NOT_DUPLICATE,cf0674629ed511ee430789e727a0faf91da2317ece7be00238b5dff5bb44e67c,1,UNKNOWN
1,NOT_DUPLICATE,ed81ddd8036145c1549212906873d9870bc3cd4a2864e0ec39079fd8038bc334,1,UNKNOWN
1,NOT_DUPLICATE,f4a9ab67229d7ca834f12ec91819476000ef8534b222cb0342e51f9d2528c60e,1,UNKNOWN
