approvals_created,avoided_loss_benefit_pct,benchmark_relative_value,candidate_count,comparable_completed_outcomes,condition_id,expectancy_pct,losses,net_gate_value_pct,profitable_rejection_opportunity_cost_pct,trades_formed,valid_arm_count,wins
0,UNKNOWN,UNKNOWN,1,0,INSTITUTIONAL_BASE.INSUFFICIENT_CAPACITY.01,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN
0,UNKNOWN,UNKNOWN,1,0,INSTITUTIONAL_BASE.INSUFFICIENT_EVIDENCE.01,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,1,UNKNOWN
0,UNKNOWN,UNKNOWN,1,0,INSTITUTIONAL_BASE.MISSING_TRADE_PLAN.01,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,1,UNKNOWN
0,UNKNOWN,UNKNOWN,1,0,INSTITUTIONAL_BASE.MISSING_TRADE_PLAN.02,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN
0,UNKNOWN,UNKNOWN,1,0,INSTITUTIONAL_BASE.PENDING_ENTRY_TRIGGER.01,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN
0,UNKNOWN,UNKNOWN,1,0,INSTITUTIONAL_BASE.PENDING_ENTRY_TRIGGER.02,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,1,UNKNOWN
0,UNKNOWN,UNKNOWN,1,0,INSTITUTIONAL_BASE.POOR_DATA_COMPLETENESS.01,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,1,UNKNOWN
0,UNKNOWN,UNKNOWN,1,0,INSTITUTIONAL_BASE.WEAK_SETUP.01,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,1,UNKNOWN
0,UNKNOWN,UNKNOWN,1,0,INSTITUTIONAL_BASE.WEAK_SETUP.02,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,1,UNKNOWN
0,UNKNOWN,UNKNOWN,1,0,INSTITUTIONAL_BASE.WEAK_VERDICT.01,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,1,UNKNOWN
