candidate_arm_id,conflict_count,event_count,outcome_state,point_in_time_valid
5c8dc4367c24b6be4f0f6ba0e7fada5e1684072673791b217dd27ff159f01c3e,0,2,ENTRY_PENDING,true
a5c51431ac346478d449e0bbe63dd01fce4e3168546f099ed20144a98bee891b,0,2,ENTRY_PENDING,true
2458372d3219958b046b3d2d980dfb93d639a57639079cc3c569fa7f3e0de9af,0,2,ENTRY_PENDING,true
df2138866cab2696294a572c69245743cc75bb497010cb84694327f7334cb2f0,0,2,ENTRY_PENDING,true
cac1cca0435b7eca735941d597fba53bc779ee5ae2f8ce2be7f1f2c8f4dff00d,0,2,ENTRY_PENDING,true
0fde4cfe44cfa9040e756364d6bb9c26f1dff0e63b33854477ca626b08237780,0,2,ENTRY_PENDING,true
df432f09de5b6a2802feaae9e036c2ac383310fdcbb930c2cff1ebf45a3507af,0,2,ENTRY_PENDING,true
cf39e9b6dfe96e61c3ca30c5419219eeb683e030c31f7c9c133670ebdf047ba3,0,2,ENTRY_PENDING,true
d2b3740f7154d4e9d9181df751d7e30d407aeeb35f2dde4e124d8f99e63ee934,0,2,ENTRY_PENDING,true
65e81a216cc1ebc42dd7914e62abddcbdaf0c77344c77a816d0de4dcf6dcc024,0,2,ENTRY_PENDING,true
